EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
505502,2014,April,EF1,NORTH CAROLINA,35.6,-76.54,35.61,-76.52,0,0,0,0,50.00K
493122,2014,February,EF0,MISSISSIPPI,31.607,-89.255,31.615,-89.251,0,0,0,0,10.00K
504239,2014,April,EF2,MISSOURI,36.6843,-90.8698,36.7212,-90.827,0,0,0,0,50.00K
506202,2014,April,EF2,KANSAS,36.9987,-94.753,37.0525,-94.7147,25,0,0,0,10.00M
504231,2014,April,EF0,MISSOURI,36.7518,-90.5799,36.7524,-90.5765,0,0,0,0,17.00K
504499,2014,April,EF1,MISSOURI,36.8047,-90.2004,36.892,-90.1217,0,0,0,0,8.00K
510959,2014,May,EF2,NEBRASKA,40.77,-97.2,40.83,-97.07,0,0,0,0,0.00K
510963,2014,May,EF0,NEBRASKA,40.79,-97.29,40.78,-97.32,0,0,0,0,0.00K
499888,2014,February,EF1,ILLINOIS,39.7648,-89.391,39.8562,-89.291,0,0,0,0,990.00K
506752,2014,April,EF2,LOUISIANA,32.8866,-93.875,32.9041,-93.8188,0,0,0,0,20.00K
504235,2014,April,EF1,MISSOURI,36.8006,-90.2088,36.8047,-90.2004,0,0,0,0,2.00K
505086,2014,February,EF1,MISSOURI,36.1895,-89.8812,36.1912,-89.8774,5,0,0,0,75.00K
499891,2014,February,EF0,ILLINOIS,39.3132,-89.1396,39.3471,-89.0844,0,0,0,0,20.00K
507112,2014,April,EF1,MISSISSIPPI,32.8022,-89.0136,32.8209,-88.9987,0,0,0,0,75.00K
505205,2014,April,EF1,OKLAHOMA,34.548,-94.7109,34.5566,-94.6889,0,0,0,0,0.00K
508277,2014,April,EF1,MISSISSIPPI,33.23,-88.79,33.2852,-88.7323,0,0,0,0,40.00K
506753,2014,April,EF2,LOUISIANA,32.9041,-93.8188,32.9121,-93.7933,0,0,0,0,1.00M
504468,2014,April,EF1,ILLINOIS,37.6192,-88.8914,37.6284,-88.8835,0,0,0,0,10.00K
508404,2014,March,EF0,MINNESOTA,44.554,-95.9919,44.6305,-95.9911,0,0,0,0,15.00K
500801,2014,March,EF1,LOUISIANA,31.4215,-92.4232,31.4277,-92.3984,0,0,0,0,100.00K
501831,2014,February,EF1,INDIANA,39.1792,-85.2854,39.1877,-85.275,0,0,0,0,100.00K
499894,2014,February,EF2,ILLINOIS,39.399,-89.0256,39.4689,-88.917,1,0,0,0,80.00K
502219,2014,February,EF0,MARYLAND,38.242,-76.68,38.3355,-76.4855,0,0,0,0,0.00K
515211,2014,April,EF3,MISSISSIPPI,34.4643,-88.3855,34.4725,-88.3706,0,0,0,0,10.00K
516963,2014,May,EF2,TEXAS,32.2946,-101.2859,32.3084,-101.28,0,0,0,0,45.00K
